company,website,symbol,dividend,anouncement_date,record_date,ex_date,pay_date
Simmons First National Corp,http://www.simmonsbank.com,SFNC,0.15,2018-10-24,2018-12-14,2018-12-13,2019-01-04
Site Centers Corp,http://www.sitecenters.com,SITC,0.2,2018-11-14,2018-12-14,2018-12-13,2019-01-04
Sonic Automotive Inc,http://www.sonicautomotive.com,SAH,0.06,2018-10-25,2018-12-14,2018-12-13,2019-01-15
Sotherly Hotels Inc,http://www.sotherlyhotels.com,SOHO,0.125,2018-10-30,2018-12-14,2018-12-13,2019-01-11
T. Rowe Price Group Inc,http://www.troweprice.com,TROW,0.7,2018-10-24,2018-12-14,2018-12-13,2018-12-28
Teck Resources Ltd,,TECK_B:CA,0.05,2018-11-16,2018-12-14,2018-12-13,2018-12-31
Teck Resources Ltd,,TECK_B:CA,0.1,2018-11-16,2018-12-14,2018-12-13,2018-12-31
Telephone and Data Systems Inc,http://www.tdsinc.com,TDS,0.16,2018-11-16,2018-12-14,2018-12-13,2018-12-28
Textron Inc,http://www.textron.com,TXT,0.02,2018-10-24,2018-12-14,2018-12-13,2019-01-01
THL Credit Inc,http://www.thlcredit.com,TCRD,0.27,2018-11-07,2018-12-14,2018-12-13,2018-12-31
TIER REIT Inc,http://www.tierreit.com,TIER,0.18,2018-11-02,2018-12-14,2018-12-13,2018-12-27
TPG Specialty Lending Inc,http://www.tpgspecialtylending.com,TSLX,0.39,2018-11-06,2018-12-14,2018-12-13,2019-01-15
TransAlta Renewables Inc,,RNW:CA,0.07833,2018-08-02,2018-12-14,2018-12-13,2018-12-31
Tredegar Corp,http://www.tredegar.com,TG,0.11,2018-11-02,2018-12-14,2018-12-13,2019-01-01
U.S. Silica Holdings Inc,http://www.ussilica.com,SLCA,0.0625,2018-11-13,2018-12-14,2018-12-13,2019-01-04
UGI Corp,http://www.ugicorp.com,UGI,0.26,2018-11-16,2018-12-14,2018-12-13,2019-01-01
United Bankshares Inc,http://www.ubsi-inc.com,UBSI,0.34,2018-11-16,2018-12-14,2018-12-13,2019-01-02
United Community Banks Inc,http://www.ucbi.com,UCBI,0.16,2018-11-08,2018-12-15,2018-12-13,2019-01-07
Universal Display Corp,http://oled.com,OLED,0.06,2018-11-01,2018-12-14,2018-12-13,2018-12-28
Urban Edge Properties,http://www.uedge.com,UE,0.22,2018-11-06,2018-12-14,2018-12-13,2018-12-31
Utah Medical Products Inc,http://www.utahmed.com,UTMD,0.275,2018-10-30,2018-12-14,2018-12-13,2019-01-03
Valley National Bancorp,http://www.valleynationalbank.com,VLY,0.11,2018-11-15,2018-12-14,2018-12-13,2019-01-02
Velan Inc,,VLN:CA,0.03,2018-10-11,2018-12-14,2018-12-13,2018-12-28
Wajax Corp,,WJX:CA,0.25,2018-11-06,2018-12-14,2018-12-13,2019-01-03
Williams Companies Inc,http://www.williams.com,WMB,0.34,2018-11-08,2018-12-14,2018-12-13,2018-12-31
World Wrestling Entertainment Inc,http://www.wwe.com,WWE,0.12,2018-10-18,2018-12-14,2018-12-13,2018-12-26
Worthington Industries Inc,http://www.worthingtonindustries.com,WOR,0.23,2018-09-26,2018-12-14,2018-12-13,2018-12-28
Wyndham Destinations Inc,http://www.wyndhamdestinations.com,WYND,0.41,2018-11-14,2018-12-14,2018-12-13,2018-12-28
Wyndham Hotels & Resorts Inc,http://www.wyndhamhotels.com,WH,0.25,2018-11-16,2018-12-14,2018-12-13,2018-12-28
Aaon Inc,http://www.aaon.com,AAON,0.16,2018-11-08,2018-11-29,2018-11-28,2018-12-20
Analog Devices Inc,http://www.analog.com,ADI,0.48,2018-11-20,2018-11-29,2018-11-28,2018-12-10
DNB Financial Corp,http://www.dnbfirst.com,DNBF,0.07,2018-11-15,2018-11-29,2018-11-28,2018-12-10
Enerplus Corp,,ERF:CA,0.01,2018-11-19,2018-11-29,2018-11-28,2018-12-14
Evergy Inc,http://www.evergyinc.com,EVRG,0.475,2018-11-07,2018-11-29,2018-11-28,2018-12-20
Griffon Corp,http://www.griffon.com,GFF,0.0725,2018-11-14,2018-11-29,2018-11-28,2018-12-20
Home Depot Inc,http://www.homedepot.com,HD,1.03,2018-11-15,2018-11-29,2018-11-28,2018-12-13
Maxim Integrated Products Inc,http://www.maximintegrated.com,MXIM,0.46,2018-10-30,2018-11-29,2018-11-28,2018-12-13
Pebblebrook Hotel Trust,http://www.pebblebrookhotels.com,PEB,0.2478261,2018-11-19,2018-11-29,2018-11-28,2019-01-15
Six Flags Entertainment Corp,http://www.sixflags.com,SIX,0.82,2018-11-14,2018-11-29,2018-11-28,2018-12-10
Aaron's Inc,http://www.aarons.com,AAN,0.035,2018-11-07,2018-12-20,2018-12-19,2019-01-07
Apollo Investment Corp,http://www.apolloic.com,AINV,0.15,2018-10-31,2018-12-20,2018-12-19,2019-01-04
Capitala Finance Corp,http://www.capitalagroup.com,CPTA,0.0833,2018-10-01,2018-12-20,2018-12-19,2018-12-28
Cargojet Inc,,CJT:CA,0.212,2018-11-13,2018-12-20,2018-12-19,2019-01-07
Circa Enterprises Inc,,CTO:CA,0.06,2018-11-08,2018-12-20,2018-12-19,2019-01-04
Dine Brands Global Inc,http://www.dinebrands.com,DIN,0.63,2018-10-09,2018-12-20,2018-12-19,2019-01-04
Ensign Energy Services Inc,,ESI:CA,0.12,2018-11-02,2018-12-20,2018-12-19,2019-01-04
Getty Realty Corp,http://www.gettyrealty.com,GTY,0.35,2018-10-24,2018-12-20,2018-12-19,2019-01-04
Gladstone Capital Corp,http://www.gladstonecapital.com,GLAD,0.07,2018-10-09,2018-12-20,2018-12-19,2018-12-31
Gladstone Commercial Corp,http://www.gladstonecommercial.com,GOOD,0.125,2018-10-09,2018-12-20,2018-12-19,2018-12-31
Gladstone Investment Corp,http://www.gladstoneinvestment.com,GAIN,0.068,2018-10-09,2018-12-20,2018-12-19,2018-12-31
Gladstone Land Corp,http://www.gladstoneland.com,LAND,0.0444,2018-10-09,2018-12-20,2018-12-19,2018-12-31
KAR Auction Services Inc,http://www.karauctionservices.com,KAR,0.35,2018-11-06,2018-12-20,2018-12-19,2019-01-04
Neo Performance Materials Inc,,NEO:CA,0.095,2018-11-14,2018-12-20,2018-12-19,
New Look Vision Group Inc,,BCI:CA,0.15,2018-11-12,2018-12-20,2018-12-19,2018-12-31
RPT Realty,http://www.rptrealty.com,RPT,0.22,2018-11-02,2018-12-20,2018-12-19,2019-01-02
Solar Capital Ltd,http://www.solarcapltd.com,SLRC,0.41,2018-11-05,2018-12-20,2018-12-19,2019-01-04
Tiffany & Co,http://www.tiffany.com,TIF,0.55,2018-11-15,2018-12-20,2018-12-19,2019-01-10
Washington Real Estate Investment Trust,http://www.washreit.com,WRE,0.3,2018-10-25,2018-12-20,2018-12-19,2019-01-04
Altius Minerals Corp,,ALS:CA,0.04,2018-11-07,2018-12-06,2018-12-05,2018-12-20
Brown-Forman Corp,http://www.brown-forman.com,BF/B,0.166,2018-11-15,2018-12-06,2018-12-05,2019-01-02
Computer Modelling Group Ltd,,CMG:CA,0.1,2018-11-13,2018-12-06,2018-12-05,2018-12-14
Franco-Nevada Corp,,FNV:CA,0.24,2018-11-05,2018-12-06,2018-12-05,2018-12-20
Gladstone Investment Corp,http://www.gladstoneinvestment.com,GAIN,0.06,2018-10-09,2018-12-06,2018-12-05,2018-12-14
Golden Ocean Group Ltd,http://www.goldenocean.bm,GOGL,0.15,2018-11-20,2018-12-06,2018-12-05,2018-12-20
Halliburton Co,http://www.halliburton.com,HAL,0.18,2018-11-07,2018-12-06,2018-12-05,2018-12-27
Liberty Oilfield Services Inc,http://www.libertyfrac.com,LBRT,0.05,2018-10-23,2018-12-06,2018-12-05,2018-12-20
Mannatech Inc,http://www.mannatech.com,MTEX,0.5,2018-11-14,2018-12-06,2018-12-05,2018-12-27
Mosaic Co,http://www.mosaicco.com,MOS,0.025,2018-10-18,2018-12-06,2018-12-05,2018-12-20
Newmont Mining Corp,http://www.newmont.com,NEM,0.14,2018-10-24,2018-12-06,2018-12-05,2018-12-27
Old Dominion Freight Line Inc,http://www.odfl.com,ODFL,0.13,2018-11-01,2018-12-06,2018-12-05,2018-12-20
Patterson-UTI Energy Inc,http://www.patenergy.com,PTEN,0.04,2018-10-25,2018-12-06,2018-12-05,2018-12-20
Qualcomm Inc,http://www.qualcomm.com,QCOM,0.62,2018-10-23,2018-12-06,2018-12-05,2018-12-20
Resolute Forest Products Inc,http://www.resolutefp.com,RFP,1.5,2018-11-01,2018-12-06,2018-12-05,2018-12-20
TiVo Corp,http://www.tivo.com,TIVO,0.18,2018-11-08,2018-12-06,2018-12-05,2018-12-20
Travelport Worldwide Ltd,http://www.travelport.com,TVPT,0.075,2018-11-01,2018-12-06,2018-12-05,2018-12-20
Vishay Intertechnology Inc,http://www.vishay.com,VSH,0.085,2018-10-29,2018-12-06,2018-12-05,2018-12-20
Advance Auto Parts Inc,http://www.advanceautoparts.com,AAP,0.06,2018-11-13,2018-12-21,2018-12-20,2019-01-04
Chubb Ltd,http://www2.chubb.com,CB,0.73,2018-11-15,2018-12-21,2018-12-20,2019-01-11
Eagle Materials Inc,http://www.eaglematerials.com,EXP,0.1,2018-11-07,2018-12-21,2018-12-20,2019-01-25
First Guaranty Bancshares Inc,http://www.fgb.net,FGBI,0.16,2018-11-20,2018-12-21,2018-12-20,2018-12-31
First Midwest Bancorp Inc,http://www.firstmidwest.com,FMBI,0.12,2018-11-16,2018-12-21,2018-12-20,2019-01-08
Hackett Group Inc,http://www.thehackettgroup.com,HCKT,0.17,2018-11-06,2018-12-21,2018-12-20,2019-01-04
Kimball International Inc,http://www.kimballinternational.com,KBAL,0.08,2018-10-30,2018-12-21,2018-12-20,2019-01-15
LTC Properties Inc,http://www.LTCreit.com,LTC,0.19,2018-10-01,2018-12-21,2018-12-20,2018-12-31
QCR Holdings Inc,http://www.qcrh.com,QCRH,0.06,2018-11-15,2018-12-21,2018-12-20,2019-01-02
QTS Realty Trust Inc,http://www.qtsdatacenters.com,QTS,0.41,2018-11-08,2018-12-21,2018-12-20,2019-01-08
Republic Bancorp Inc,http://www.republicbank.com,RBCAA,0.242,2018-11-14,2018-12-21,2018-12-20,2019-01-18
Steven Madden Ltd,http://www.stevemadden.com,SHOO,0.14,2018-10-30,2018-12-21,2018-12-20,2018-12-31
Turning Point Brands Inc,http://www.turningpointbrands.com,TPB,0.045,2018-11-06,2018-12-21,2018-12-20,2019-01-11
